Sygnatura czasowa,"Zasady gry:
Ty i cztery inne osoby podajecie liczbę. Od 50 odejmujemy sumę wszystkich pięciu liczb. Następnie mnożymy otrzymaną wartość przez podaną przez ciebie liczbę - otrzymujemy twój wynik (wzór poniżej). Twoim celem jest osiągnięcie jak najwyższego wyniku.

Pomocniczy wzór:
x₁: twoja liczba 
x₂,...,x₅ : liczby pozostałych uczestników
S : 50-x₁-x₂-...-x₅ 
Twój wynik : x₁*S
(Wynik drugiej osoby x₂*S itd)


Jaką liczbę podasz?",Dlaczego wybrałeś akurat tę liczbę? (podaj tok rozumowania)
2026-01-06 01:08:28,9,"Zakładam że każdy zostanie w zakresie od 1-10 aby nie sprawic że liczba będzie ujemna, raczej inni (jeśli też będą chcieli maksymalizować wynik) wybiorą 8 albo 9, może niektórzy 10. Jeśli trafi się jakiś wariat który wybierze np 100 to i tak nie ma znaczenia bo jakaz jest różnica między -400 a -450 (oczywiście 50 ale w procentach to mała różnica), jeśli wariat się nie trafi i nie zejdziemy na minus to liczba jaką wybieram ma znaczenie. Założenie że wartością średnio wybierana przez ludzi będzie 5 jest nie mądre ponieważ inni też będą chcieli maksymalizować wynik, wiec wybiorą liczbę z zakresu 8-10. Moje rozważanie jest pomiędzy 8 a 9, biorę większe ryzyko (9), bo nie chce mi się myśleć o nie liczbach naturalnych."
2026-01-06 01:15:28,6.0001,Ponieważ wszyscy dadzą powyżej 11 raczej
2026-01-06 09:18:26,0,Podanie zera o ile jest to legalna zapewnia 0ptk mam rozumieć ze wszyscy znają zasady gry wiec będą chcieli wynik jak najbardziej obniżyć wiec 0 daje 0 zawsze rozwazanie liczby ujemnej ma sens o ile wszyscy rzucamy liczby w tym samym momencie wtedy gracze nie mogą wyliczać wyniku na bieżąco i podać liczbę zaniżającają moj stan ptk
2026-01-06 10:10:34,-67,"bo 67 to fajna liczba, a zakładam że inne osoby dadzą +67 i potem warto pomnożyć ujemną sumę razy liczbę ujemną aby się udodatnił"
2026-01-06 11:02:07,8.33,równowaga nasha
2026-01-06 11:05:52,8,"50-8*5=10, 10*8... Jest blisko x^6 co jest na ogół dobrym rozwiązaniem w optymalizacji. Jeśli inni gracze zagrają źle,to i tak nic z tym nie zrobię "
2026-01-06 12:01:38,10,Statystycznie będzie git 
2026-01-06 12:17:24,14,nie pofiem 
2026-01-06 12:50:34,5,Bo kazda wieksza maksymalizuje szanse na przegrana
2026-01-06 13:05:12,-100,"Myślę, że wiekszość graczy da liczbę dodatnią, przez co ostatecznie suma wyjdzie ujemna, dzieki czemu mój wynik będzie dodatni "
2026-01-06 13:08:57,1,"Przejdzie na liczby ujemne i wtedy wszyscy będą mieli wysoki mnożnik, co sprawi że będą mieli niski wynik, a ja nie"
2026-01-06 13:13:29,8,"Nie za dużo odejmuje, ale jak mnożysz, to wtedy jest dużo na +"
2026-01-06 13:14:46,6,"Matematycznie najbardziej opłaca się wszystkim wybrać 5 (maksimum funkcji y=(50-5x)*x), ale ponieważ 50/5=10 i czuję że inni mogą dać liczby bliżej 10, to ja też swoją delikatnie podnoszę ;)"
2026-01-06 13:18:00,9,"Jest na tyle mała, że raczej nie zejdziemy do wyniku mniejszego niż 1 (zakładając że inni też nie dadzą zbyt dużych liczb) a jednocześnie nie jest najmniejsza więc końcowy iloczyn będzie większy "
2026-01-06 13:21:50,2,Gdy jest większa liczba zwiększa się prawdopodobieństwo na  liczbę ujemną.
2026-01-06 13:31:07,50,"Była pierwszą, która przyszła na myśl, bo przytłoczył mnie opis matematycznych obliczeń "
2026-01-06 13:31:27,6,"Jest spore ryzyko, że suma wszystkich pięciu cyfr będzie większa od 50. Wtedy każdy będzie mnożył swoją liczbę razy liczbę ujemną, więc korzystnie będzie mieć jak najmniejszą liczbę. Równocześnie chce “dołożyć się” do sumy, aby faktycznie przekroczyła 50, stad 6"
2026-01-06 13:45:02,24,Bo tak czuje (tzw. czutka mistrza)
2026-01-06 13:45:23,-1,"Jest bardzo duża szansa, że suma liczb podanych przez pozostałe 4 osoby będzie większa niż 50. Wtedy podanie dodatniej liczby pozostawi wynik ujemny. Można by było kombinować z dobraniem tej liczby ujemnej ale nie mamy informacji o rozkładzie albo czy inne osoby też grają optymalnie."
2026-01-06 13:46:13,11,"Jeżeli wszyscy uczestnicy podali by taką samą najbardziej optymalną dla ""ogółu"" liczbę to była by to piątka 5*(50-5*5)= 125. Myślę, że jednak część osób byłaby bardziej zachłanna i podała by liczbę trochę większą. Zakładam, że łącznie suma podanych liczb przez pozostałą czwórkę zwiększyła by się pewnie o dodatkowe 5 (kilka szóstek i kilka siódemek do 25). Wtedy dla mnie najlepsza była by 12 ( 12*(50-25-12)=156 ). Dla bezpieczeństwa wziąłbym jednak 11 (maksymalizuje mój wynik przy sumie innych do 27). Natomiast jeśli eksperyment byłby wielorazowy, a członkowie mogli by wybierać siebie nawzajem, wybierałbym cały czas 5. Polecam autorowi, bądź autorce zajrzeć do książki Axelroda o podobnej tematyce ""The Evolution od cooperation"", myślę że może być interesująca, oraz do filmiki na youtubie veritasium. https://youtu.be/mScpHTIi-kM?si=hUDIZDkcGgQP79-g"
2026-01-06 13:48:41,8,Ponieważ przy racjonalnych wyborach graczy jest to najlepsza opcja do maksymalizacji wyniku
2026-01-06 13:52:38,-100,"Gdyż, kiedy 4 inne osoby podadzą jak największe liczby, suma będzie ujemna a jak pomnożę przez -100, wynik będzie maksymalny"
2026-01-06 13:55:43,7,Siu 
2026-01-06 13:55:46,10,"Jeżeli średnio każdy da więcej niż 10 to nie będę mieć ostatniego miejsca, a jeśli inni się wystraszą i dadza mniej niz 10 by nie był wynik ujemny to będę mieć najwyższy wynik dodatni"
2026-01-06 14:00:05,5,"Zakładając, że wszyscy gracze grają uczciwie i logicznie, taka liczba pozwoli na osiągnięcie przez każdego z graczy najwyższego wyniku"
2026-01-06 14:04:17,5,Maksymalizuje wynik przy racjonalnych przeciwnikach 
2026-01-06 14:06:07,1,Mam takie przeczucie.
2026-01-06 14:06:55,-2,"Moim zdaniem osoby chcące zmaksymalizować swój wynik podadzą jak największy wynik, co przełoży się na ostatecznie ujemną różnicę. W tym przypadku najbardziej opłacalną opcją będzie wybranie ujemnej liczby bo pomnożenie ujemnego wyniku z moją ujemną liczbą, da mi największy wynik. "
2026-01-06 14:09:04,0,to najbezpieczniejsza opcja ponieważ gwarantuje brak wyniku ujemnego niezależnie od tego kto da jaką liczbę
2026-01-06 14:19:54,0,"0 daje mi gwarancję, że moja SUMA to 0, jest to jedyna opcja, w której na wynik nie mają wpływu inni, a jest bardzo duża szansa, że wynik odejmowania będzie ujemny a wszystkie liczby innych graczy dodatnie, czyli ja wygrywam. W szczególności, jeżeli można podawać tylko liczby naturalne :)"
2026-01-06 14:20:05,216,wczoraj sie ucieszyłem gdy zobaczyłem pierwiastek szescienny z tej liczby
2026-01-06 14:30:19,5,"gdy wszyscy wybiorą taką liczbę to suma będzie względnie duża, a ponadto twój wynik będzie względnie wysoki"
2026-01-06 14:38:26,-0.00001,"the optimal choice boils down to estimating if  50-x₂-...-x₅ > 0 or not
I imagine most participants will go with the intuitive choice of picking something between 5-10, let's say 3 of them. If all persons were like this (average), the best choice would be somewhere in the upper range of this, e.g. 7-10

But then there is a good chance of encountering someone bullish that selects more than 10 
And if this makes 50-x₂-...-x₅ < 0, my best strategy is to go with an extremely small number like -0.00001 to flip my score positive (or -1 if only integers are allowed).
 
So I guess I would try to read who my co-participants are, and if 
- they are mostly girls or look calm & reasonable, I would aim for 9
- if all guys and some of them is suspisious, I would go with  -0.00001

If I cannot read the backgrounds and I have to play many times with random people, I would choose something in the middle, like 5 (if people all people are good I'm okay to take a mediocre place, but most often there will likely be a bully in which case SUM < 0 and the one selecting the lowest coeff wins)"
2026-01-06 14:42:09,27,lubie ta liczbe
2026-01-06 14:55:07,25,gram sam :(
2026-01-06 14:57:56,19,bo jest unique
2026-01-06 15:17:48,-5,"Zakładam, że spośród dużej ilości osób biorących udział w badaniu, jest spora szansa na to że ludzie powpisują jakiekolwiek liczby dodatnie albo jakieś memiczne liczby pokroju 2137, 420 itp. i przez to wynik działania odejmowania będzie ujemny. Wobec tego po mnożeniu mój wynik powinien wyjść dodatni."
2026-01-06 15:48:21,-5,"Taką mam ideę że suma liczb pozostałych ludzi przekroczy 50, a nawet to 55, i wtedy - razy - daje + czyli free win"
2026-01-06 15:52:14,-2,"Jeśli suma spadnie poniżej zera to mój wynik jest dodatni. Nie chcę dawać zbyt ujemnej liczby ponieważ może ona spowodować dodatnią sumę ale chcę potencjalnie wygrać z wyborem -1.

Alternatywą byłoby coś z przedziału dodatniego ale jeśli inni zawodnicy też maksymalizują wynik to raczej skłonią się ku większym liczbom (aby wynik był wyższy), co może łatwo spowodować ujemną sumę. 
Wybranie niskiej liczby, aby utrzymać wyższą sumę może dać niższy wynik niż inni gracze.

Liczba ujemna może nie być aż tak brana pod uwagę (chociaż może się mylę)."
2026-01-06 15:55:09,-5,To ja tomek sprawdzam coś
2026-01-06 16:54:53,5,"Wybrałam 5, ponieważ przy założeniu, że każdy z nas wybierze tę samą liczbę, wszyscy otrzymamy najbardziej optymalny wynik. Może zdarzyć się tak, że ktoś weźmie liczbę mniejszą od 5, a ktoś inny liczbę trochę większą od 5, ale wtedy średnia suma odejmowanych liczb pozostanie w przybliżeniu taka sama. Pomysł ten nie sprawdzi się, gdy jedna (lub kilka) osób wybierze liczbę znacznie większą od 5, jednak zakładam, że z uwagi na ryzyko takiego postępowania, większość osób nie zdecyduje się na ten ruch."
2026-01-06 17:06:27,-10,"Jest duże prawdopodobieństwo, że suma podanych liczb przekroczy 50, przez co mój wynik będzie jedynym, bądź jednym z nielicznych dodatnich. Stawiam jednak ostrożnie i wybieram wysoką liczbę na minusie, by nie stracić zbyt wiele. "
2026-01-06 20:46:21,6,Bo tak 
2026-01-06 20:48:02,4,bo mi sie podoba
2026-01-07 09:25:41,39,Moj wiek to dobry wynik
2026-01-07 09:31:48,8,"8,33 byla by lepsza... :)"
2026-01-07 09:36:12,13,13 przynosi mi szczęście  :)
2026-01-07 09:42:26,7,Moja ulubiona
2026-01-07 10:23:41,9,"Zakładając, że pozostali uczestnicy podawali cyfry od 1-8 to mój wynik będzie najwyższy."
2026-01-07 11:00:25,7,Szczęśliwa dla mnie 
2026-01-07 11:04:14,4,Strzelam
2026-01-07 11:07:44,9,aby zmaksymalizować wynik
2026-01-07 12:51:22,100,Wybrałam ta liczbe losowo
2026-01-07 14:51:35,01134,Hello
2026-01-07 14:52:15,1,"Myślę, że przy pięciu osobach jest duże prawdopodobieństwo, że po odjęciu od 50 wyjdzie ujemna liczba, a każde mnożenie przez ujemną liczbę, będzie zmniejszało mój wynik. Mnożenie przez 1 najmniej go zmniejszy."
2026-01-07 15:29:41,11,Ponieważ to moja szczęśliwa liczba.
2026-01-07 16:40:02,5,"łatwo się mnoży, odejmuje itp"
2026-01-07 16:43:00,15,Losowo
2026-01-07 18:40:25,0,"Przy założeniu że wszyscy uczestnicy są w pełni racjonalni i sami mają te same założenia co do konkurentów stawianie na 9 ewentualnie 8 było by rozsądną opcją jednak takowego założenia nie ma i z racji nie zdefiniowania społecznej charakterystyki gry przewiduję konkurowanie z innymi wypełniającymi ankietę, a to oznacza standardy dalekie od pełnej racjonalności w grę wchodzą emocje powierzchowność troling, a nawet scenariż w którym jestem socjopata który wypełni ankietę tysiące razy z multikont wpisując 2137 ""just to prove the point"" brak górnego limitu i wypadkowa zachowań przeciętnego internauty sprawiają że zablokowanie wyniku na 0 by nie spaść z balansem poniżej. Oczywiście nie jest to strategia na wygraną bo trafi się szczęściarz któremu wylosują się odpowiedni partnerzy (chyba że jestem socjopatą to zadbam spamem by się nie trafili) jednak przy wyciąganiu średniej z wielokrotnych testów obstawiam że to zera zostaną jedynymi na powierzchni gdy cała reszta zanurkuje w długu spowodowanym niezrozumieniem pytania lub kotem na klawiaturze."
2026-01-07 20:26:14,25,"psychologia podpowiada, że celując w połowę można zyskać więcej niż idąc na całość XDDD"
2026-01-07 21:18:36,1,Najprostrza do liczenia
2026-01-07 22:11:51,12,Bez powodu
2026-01-07 22:24:43,1,Jeżeli S będzie ujemne będę miał najmnjej ujemną liczbę 
2026-01-07 22:41:13,8.33,Bo maksymalizuje iloczyn
2026-01-07 22:44:00,-1E+23,Najbardziej prawdopodobne jest że suma liczb innych osób będzie większa niż 50
2026-01-07 22:47:55,-1,Jesli ludzie sa odpowiednio chciwi (a są) to S wyjdzie ujemne więc wtedy wynik dodatni
2026-01-08 07:25:05,13,To moja ulubiona
2026-01-08 07:26:16,-100,Ponieważ 2 minusy dają plus
2026-01-08 08:01:42,0,Fifty-fifty czy liczba S dodatnia czy ujemna
2026-01-08 08:10:11,1,"Myślę, że prawdopobne jest, że w gronie 5 osób znajdą się takie, które podadzą dość duże liczby, przez co S będzie ujemne"
2026-01-08 08:11:35,10,"Lubię 10, nikt nie da nic dużego bo ryzyko wyzerowania więc ja mogę"
2026-01-08 08:27:08,49,"
Uznałem że muszę wziąć maksymalną liczbę która nie będzie powoduje zmienienia znaku S.
Zakładam że suma liczb 4 innych osób to 0"
2026-01-08 09:07:18,10,"Wątpię że to optymalne rozwiązanie, jest niepoparte obliczeniami, bardziej błędną intuicja "
2026-01-08 09:56:23,25,"nie biorąc pod uwagę strategii innych graczy najwięcej co mogę zrobić, to maksymalizować wartość wyrażenia x_1(50-x_1), co dzieje się gdy x_1=25"
2026-01-08 10:46:31,-1,"Zauważmy, że jak suma liczb innych osób przekroczy 50, to S zejdzie na ujemne. Wtedy pomnożenie mojej liczby przez S da wynik dodatni. Liczę, że nikt nie pomyśli poza pudełkiem oraz każdy pójdzie na chciwość z wielkością swojej liczby."
2026-01-08 10:48:35,7,"Coś o strategii remisowej gdy kazdy daje 10, rezerwa na osobę która da 20 i bez proboemu gdy wszyscy dadzą cyfry, nie ma jednoznacznegk wzorka bo zależy z kim grasz"
2026-01-08 11:00:26,10,"Maksymalny wynik uzyskamy jeżeli każdy poda 5 ale pewnie tak nie będzie. Jeżeli suma podanych przez nas liczb przekroczy 50 to wygrywa ten który podał najmniejszą liczbę, ale żeby tak było to przynajmniej jedna liczba musi być większa niż 10, więc napewno nie będę ostatni. Jeżeli suma podanych przez nas liczb nie przekroczy 50 to wygrywa ten który podał największą liczbę, ale żeby tak było to przynajmniej jedna z podanych liczb musi być mniejsza niż 10, zatem napewno nie będę ostatni. Jeżeli każdy poda 10 to będzie remis czyli z tego co rozumiem każdy wygrywa"
2026-01-08 11:05:02,8,"Załóżmy, że każda osoba wybiera strategię losującą odpowiedź o EV (Wartości oczekiwanej) równej x. Bez straty ogólności, jeżeli ktoś nie losuje to można założyć że też losuje (z szansą 1 dla danej liczby). Wówczas dla każdego gracza wynik to evS * x = (50-5x)*x. Co więcej, jeżeli evS>x, to każdy gracz będzie skłonny zwiększyć swoją liczbę - nawet, jeżeli zakładając, że po zwiększeniu innych graczy wynik spadnie, a po tylko i wyłącznie własnym zwiększeniu wynik nie spadnie, optymalnie jest zwiększyć - tak jak w ""dylemacie więźnia"". Analogicznie dla evS<x. Jedyną ""stabilną"" sytuacją jest więc evS=x, które jest jedyną równowagą Nasha - i jedyną sytuacją, gdzie gracze zdecydują się skończyć zmieniać wyniki. W innej sytuacji x będzie oscylować wokół evS=x. Właściwy x można więc obliczyć: evS=x, (50-5x)=x, 50-5x=x, 50=6x, x=50/6 = 8+2/6=8+1/3. Optymalne jest więc wybrać dowolne losowanie, które ma EV = 8+1/3, ja decyduję się wybrać losową liczbe z ciągu (9, 8, 8), zakładając, że inni gracze grają optymalnie (Jest to serwer MIKO więc mogę to założyć). Wylosowałem liczbę 8."
2026-01-08 11:09:07,12,"50/4, jak dam więcej to mogę mieć ujemny wynik. Co prawda jak każdy, ale ja będę mieć niższy. Jak dam mniej, to inni mogą więcej zyskać, bo daję im do tego ""przestrzeń"""
2026-01-08 11:11:57,10,"Proszę o usunięcie poprzedniej odpowiedzi, myślałem, że to łącznie 4 osoby grają.
Tak więc:
50/5, ciąg logiczny analogiczny - jak dam więcej, to mogę mieć ujemny wyniki w rundzie, który będzie najmniejszy. Jak dam mniej, daję innym przestrzeń do zysku większego niż mój."
2026-01-08 11:55:10,8,Na chybił trafił 
2026-01-08 12:03:25,-1000000000000,"Jeśli nie jest podany przedział, to suma podanych 5 liczb będzie prawdopodobnie ujemna. Żeby uzyskać maksymalny wynik, potrzebuję mieć jak najmniejszą liczbę."
2026-01-08 12:08:52,22,Dzień urodzin 
2026-01-08 12:11:20,5,Jeśli wszyscy gracze zrobili by ta strategie to wynik byłby największy (zakładając że liczby mają być od 0 do 50)
2026-01-08 12:11:52,5,bo lubie 5
2026-01-08 12:22:35,1,"Jeżeli inni podadzą liczby większe niż moja i wynik wyjdzie ujemny, to mnożąc następnie S przez liczby X1,X2, itd, to ja otrzymam najmniejszą liczbę ujemną, czyli w tym wypadku najwyższą. Zakładając, że nikt nie poda w takim scenariuszu liczby 0."
2026-01-08 12:37:08,25,"25 zawsze wygrywa bądź remisuje, jeżeli suma pozostałych liczb = 24 lub mniej to wtedy wygrywam, jeżeli suma równa się 25 to wtedy każdy remisuje"
2026-01-08 12:38:18,0,"Zakładam że gracze nie wdrażają strategii. Że działają Zgodnie z teorią gier.
Jeżeli wybiorą z przedziału od -1 do -nieskończoności to S będzie dodatnie, a następnie przemrożone przez ich ujemną liczbę - wynik każdego gracza mniejszy od zera 

Jeżeli wybiorą dodatnią od 51 do nieskończoności to S będzie ujemne, czyli wynik każdego gracza mniejszy od zero

Wybierając x=0 zawsze będziemy mieli wynik 0, bez względu na chciwość innych graczy. Więcej niż ujemne"
2026-01-08 13:47:30,0,"Wynik ""0"" jest lepszy niż jakikolwiek ujemny wynik, jeśli inni wezmą duże liczby, tak że S<0."
2026-01-08 13:54:48,13,Bo mi przynosi szczęście ....
2026-01-08 13:57:31,8.33,Jesli każdy da 8.33 to jesteśmy w równowadze nasha
