Sygnatura czasowa,"Zasady gry:
2026-01-08 22:56:17,37,Zawsze liczba którą wybieram ma na końcu 7 a 3 losowe
2026-01-08 23:35:44,8,"jest to liczba w miare środku bezpiecznego gdzie gracze nawet po zagraniu np.10 czy 11 zabiorą sobie więcej niż mi, a ci co bezpiecznie zagraja 1 czy 2 nie przebują mojego progu punktowego"
2026-01-08 23:35:58,-5,"Liczę na to że pozostali uczestnicy chcąc zdobyć jak najwięcej punktów wybiorą takie liczby aby w 4 osoby przekroczyć sumę 55 punktów, co da ujemny wynik, który pomnożony przez moje -5 da dodatni wynik, który może być nawet spory zależnie od innnych graczy."
2026-01-08 23:48:30,14,"jest to liczba na tyle mala, ze różnica nie bedzie ujemna, a iloczyn bedzie duży "
2026-01-09 07:14:18,13,Moja szczęśliwa liczba
2026-01-09 07:33:00,10,10
2026-01-09 08:11:41,25,"Skoro 50 jest progiem od którego odejmujemy liczby, a następnie mnożymy wynik przez wskazaną liczbę i chcemy uzyskać jak największy wynik, to aby osiągnąć ten cel nie możemy przekroczyć połowy wskazanej liczby 50"
2026-01-09 08:36:02,10,"Liczba 10 daje szansę na maksymalny wynik,  oczywiście przy założeniu,  że wszyscy pozostali nie zrobią tego samego"
2026-01-09 08:54:51,9,"Pozostałe osoby wybrały zero ( bo to ja im mogę wybrać liczbę, jeśli one same miałyby wziąć udział w grze pewnie nie wybrałyby zera), mnożąc uzyskaną liczbę 41 x9 uzyskamy najwyższy wynik ( 369)"
2026-01-09 08:58:32,10,Liczę że pozostali uczestnicy podadzą liczbę niższą z pierwszej 10-tki i mój końcowy wynik będzie najwyższy. 
2026-01-09 08:59:04,5,"
Jeśli wszyscy podadzą taką samą liczbę, czyli 5, to powinien wyjść najwyższy wynik (25x25)."
2026-01-09 09:05:34,15,"Wziąłem pod uwagę tylko sytuacje, gdzie mam szansę na najwyższy wynik(średni wybór przeciwników 1-8). Myślę, że przeciwnicy nie mają tendencji do wybierania ""1"", więc średni  najlepszy wybór to będzie 15."
2026-01-09 09:17:54,-1,"pewnie ci inni ludzie dadza dużą liczbę, żeby wygrać. strzelam ze zejdzie ona poniżej zera. wtedy mój mnożnik będzie np -1*-10.  przez to ja dając najmniejszą liczbę na minusie będę mieć więcej niżeli ktokolwiek kto dał liczbę dodatnia. gorzej jeżeli dadzą małe liczy "
2026-01-09 09:24:16,10,"Zakładam, że liczby wszystkich uczestników będą w okolicach 10, bo każdy będzie zakładał, że przy takich wartościach zbliżymy się do zera lub osiągniemy wartości ujemne. Jeśli tak się stanie, nikt nie osiągnie wyniku wyższego. Jeśli wszyscy przekroczą 10, będę miał najlepszy wynik. "
2026-01-09 09:24:37,1,"W ten sposób otrzymuję swój pierwszy mnożnik (tj. x1) najwyższy z możliwych do osiągnięcia, a drugi jest wspólny dla wszystkich pięciu osób"
2026-01-09 09:58:50,24,Lubię 24
2026-01-09 10:02:00,5,"chce uzyskać możliwie jak najmniejsza liczbę po odjęciu sumy, a im wyższa liczbę pomnożymy przez moja liczbę tym lepiej? :) ps. głowa mi się spociła od myślenia "
2026-01-09 10:27:36,9,ponieważ wyjdzie najwyższy wynik jeśli każdy z 5 osób poda 5 
2026-01-09 10:44:27,5,jezeli pozostale osoby podadza rowniez cztery to wynik bedzie wysoki
2026-01-09 10:46:59,7,"Łatwiej można potem w pamięci pomnożyć, gdy jest liczba jednocyfrowa "
2026-01-09 10:59:17,5,"Zakładam, że inne osoby będą chciały współpracować w celu uzyskania jak najwyższego, sprawiedliwego wyniku i wszyscy odpowiedzą 5"
2026-01-09 11:22:36,4,To był mój numer w dzienniku w szkole.
2026-01-09 11:33:01,51,"chciałem wybrać liczbę większą od 50 ale żeby nie była zbyt duża
"
2026-01-09 12:18:29,15,wybrałem liczbę 15 ponieważ tyle mam lat :)
2026-01-09 12:24:00,9,"Wybrałem 9, ponieważ inne osoby również chcą uzyskać maksymalny wynik. Jeżeli każdy wybrałby liczbę większą niż 9, suma wyniosłaby 0 lub była ujemna, a nie taki jest cel. Jednocześnie przez mnożenie na końcu przez moją liczbę powinna być ona możliwie duża, dlatego 9 wydaje mi się optymalnym rozwiązaniem."
2026-01-09 12:25:24,1,"Przypuszczam, że pozostałe 4 osoby będą chciały podać jak najwyższe liczby, żeby potem mieć wyższy czynnik w mnożeniu. Czyli istnieje ryzyko, że wynik odejmowania będzie mniejszy niż zero. Wtedy mnożąc go przez 1 wynik będzie najwyższy.
Ps. Myślę, że gdyby był podany przedział wyboru liczby to decyzja byłaby łatwiejsza, ale i ryzyko mniejsze, więc mniej adrenaliny ;)"
2026-01-09 12:47:18,10,"Na początek rozważyłem co jeśli by podać jakąś dużą liczbę. Myślałem żeby wybrać liczbę 25 by być w połowie, tym optymalnym miejscu przy podliczaniu wyników niezależnie od końcowego S. Jednak przy czterech innych osobach 25 + suma liczb innych osób może w łatwy sposób być większa od 50. Jeśli suma pięciu wybranych liczb przekroczy 50 to wchodzimy na liczby ujemne i wygrywa osoba która podała najmniejszą liczbę. Czyli lepiej jest unikać większych liczb żeby do tego nie doszło, a jak już dojdzie to by być w lepszej pozycji. Później myślałem nad liczbą 15, ale dalej wydawała mi się zbyt wielka. Myślę, że w większości wybierane by były liczby od 1 do 10, choć ja od razu zacząłem myślenie od wielkich liczb więc muszę się liczyć z tym, że ktoś także może na to wpaść. Dlatego myślę że lepiej wybrać liczbę mniejszą niż większą, ale na pewno większą od 9 by wygrać w sytuacji gdzie każdy podał liczbę od 1 do 10. 

Zastanawiałem się jeszcze trochę nad podaniem liczby ujemnej, ale to przydawało by się tylko, gdy suma liczb czterech innych osób jest większa od 50 + moja ujemna. Myślę że to mało prawdopodobne (przynajmniej za pierwszym razem grając z kimś w grę. Dużo zależy od tego z kim gram i ile razy już grałem z daną osobą). 
Nie wiem czy gra zakłada możliwość podania ujemnej liczby. Z jednej strony brakuje mi tego zakresu możliwych liczb do wyboru, z drugiej jeśli by to było od razu powiedziane to każdy by sobie z tego zdawał sprawę co zmniejszyłoby moją przewagę."
2026-01-09 13:55:15,0,"Daję zero, bo nie wiem co wiedzą pozostałe cztery osoby. Czy one podają dowolną liczbę, czy też mają takie same reguły jak ja (czyli ich zadaniem jest osiągnięcie jak najwyższego wyniku). Liczba zero gwarantuje, że mój wynik nie będzie ujemny. W każdym innym przypadku mogę otrzymać wynik ujemny. Wynik zero plasuje mnie niemal w połowie stawki (liczb ujemnych i dodatnich jest tyle samo)."
2026-01-09 14:00:57,10,pierwsza jak przyszła mi  na myśl 
2026-01-09 14:28:08,15,"Jeśli podawanie liczby odbywa się w jakiejś określonej kolejności to w zależności w którym momencie bym się znajdował musiałbym oszacować co reszta uczestników by podała, i wziąć pod uwagę to co zostało podane, natomiast, jeśli wszyscy uczestnicy podają liczbę jednoczenie to wybrałbym liczbę 15, ponieważ jeśli wynik końcowy zostałby dodatni otrzymałbym na pewno dosyć spory wynik co pozwoliłoby mi wygrać, natomiast jeśli wynik byłby na minusie, po przemnożeniu przez moją liczbę byłby jednym z tych który nie spowodował by zajęcia jednego z ostatnich miejsc. "
2026-01-09 14:49:47,5,Zakładając że wszyscy wybiorą tą samą liczbę to 5 da największy wynik (125)
2026-01-09 14:50:52,1,"Uznałem, że najbezpieczniej będzie podać małą liczbę tak aby mieć większą szansę na to że liczba S spadnie do zera lub mniej co by skutkowało stratą punktów, lub wyjściem na minus"
2026-01-09 15:01:27,8.5,Najbardziej optymalna liczba
2026-01-09 15:33:20,10,losowo
2026-01-09 15:51:34,5,5 żeby otrzymać jak najwyższą liczbę z mnożenia.
2026-01-09 15:58:22,8,Równowaga
2026-01-09 16:20:53,10,"gdy wszyscy damy 10 to będzie 0 to da remis
gdy wszyscy dadzą ponad 10 to ja najmniej mnożę ujemną czyli mam najwięcej
gdy wszyscy dadzą poniżej 10 to mam największy mnożnik
gdy wyniki są mieszane to wszyscy mamy tak samo małe szanse a zakładam że wszyscy będą celować w danie czegoś poniżej 10 bo nie będą chcieli zejść do liczb ujemnych
"
2026-01-09 16:26:23,9,No ogółem z tego co mi się wydaję ludzię zazwyczaj myślą o liczbie 7 najpierw więc podam 9 bo 50-4*7=32 32-9=23 23*9 > 23* 7. I to tyle chyba
2026-01-09 16:31:05,9,"9 to największa możliwa mnożna. Choć większy wynik możnaby uzyskać przy mniejszych x czyli większym S, ale zakładam że nie znam liczb innych osób"
2026-01-09 16:40:12,-100000,"Nie było podanego zakresu podawanej liczby, mógłbym dać jeszcze większą ale nie chce mi się pisać. Wiem że liczby które mnożę są obie ujemne więc będzie dodatnia."
2026-01-09 16:44:51,8,W zależności od uczestników z ktorymi gramy liczba ta powinna sie roznic. Niezaznajoma osoba wybierze 10 lub wiecej co przelozy sie na ujemną niewiadomą S. Wynik przy wyborze 8 w przypadku S=-1 jest najmniejszy. 
2026-01-09 16:56:22,21,Sprawdziłem w głowie pare liczb i zauważyłem że po 23 wynik już przestaje rosnąć jednak nie spędziłem dużo czasu nad zadaniem więc nie mam pewności czy wynik jest poprawny 
2026-01-09 16:58:26,23,Sprawdziłem parę liczb w głowie  i zauważyłem że po 23 wynik przestaje rosnąć lecz nie jestem całkowicie pewny  bo nie spędziłem dużo czasu nad zadaniem(w poprzedniej odpowiedzi zapisałem niechcący nie ten  numer więc piszę jeszcze  raz)
2026-01-09 16:59:55,10,"Włożyłem do desmosa wszystkie dane i zmienne, lecz było za dużo zmiennych i założyłem że wszystkie pozostałe osoby dadzą tą samą liczbę i wyszło że zawsze będę mieć najwyższą liczbę dając 10"
2026-01-09 17:05:27,5,Tak mi się wydaje 
2026-01-09 17:37:17,4,"Napisałam wzór funkcji, a potem ją narysowałam"
2026-01-09 18:05:35,-1,"zgaduję, że pozostali uczestnicy mogliby wybrac liczby ktorych suma znacznie przekraczalaby 50 poniewaz chcieliby uzyskac jak największą liczbę punktów jeżeli tak by się wydarzylo to jako jedyny posiadajacy ujemna liczbe x mialbym dodatni wynik, jezeli inni pomysleliby jednak w ten sam sposob co ja to majac nie daleką od zera liczbe jak -1 mialbym rowniez najwyzszy wynik bo -1 * dodatnie S jest wieksze niz -10 *s "
2026-01-09 18:13:48,-1,"Zgaduje ze każda osoba da ponad 10, i mam nadzieje ze suma po odjęciu bedzie ujemną. Wtedy jako jedyna bede miała dodatnia liczbę
"
2026-01-09 18:20:04,25,"statystyczny rozkład jest ~0, więc S~=50-0-25, a nikomu się nie opłąca dawać liczby o dużym module be statystycznie przegra więc odchylenia będą małe, więc zwykle powinna być dodatnie, ale gdybym dał liczbę bliżej 50 to byłaby większa szansa że S będzie ujemne, a gdybym dał liczbę bliżej 0 to byłaby większa szansa, że ktoś dał większe x, więc miał większe xS przy S>0"
2026-01-09 18:57:12,25,nie będę mieć gorzej niż oni
2026-01-09 19:24:18,0,Nie możemy być pewni znaku jaki będzie miał nasz wynik więc chcemy zagwarantować nieujemnosc czyli bierzemy 0
2026-01-09 19:34:20,2026,Aktualny rok
2026-01-09 20:49:40,2,jesli suma liczb bedzie wieksza od 50 to wynik bedzie na minusie
2026-01-09 21:06:14,0,"poniewaz podajac jaka kolwiek inna liczbe moj wynik nie bedzie ujemny, a jesli suma tych 4 osob przekroczy 50 to wygrałem, 10 tez wydaje sie byc dobrym wynikiem ale jesli suma jest dodatnia to ktokolwiek z >10 wygrywa a jesli ujemna to ktokolwiek z <10 wygrywa wiec wydaje mi sie ze 0"
2026-01-09 21:14:48,25,"Ty i cztery inne osoby podajecie liczbę ( nie wiem z jakiego zakresu ma być ta liczba). Pytałam w domy jakie liczby podaliby uczestnicy z zakresu od 0 do 50. Jedna osoba podała 49, druga 2. Jak odjęłabym choćby tylko ich  liczby od 50 jestem już na minusie. 
Dlaczego 25? Jeżeli inny uczestnicy daliby mniejsze liczby niż ja, to moja liczba razy suma daje najwyższy wynik. Nie większa  żeby  wartość po odjęciu od 50 była dodatnia. "
2026-01-09 21:30:18,24,Dzien miesiąca w którym się urodziłem 
2026-01-10 08:20:06,9,"Bardzo dużo niewiadomych, nie ma określonej maksymalnej liczby, ani tego czy inne osoby mogą mieć taką samą albo większą liczbę, łatwo otrzymać liczbę ujemną. 9 ma szansę na liczbę dodatnią jako wynik."
2026-01-10 10:17:49,9,"Przy 5 liczbach odejmowanych od 50 może się zrobić liczba ujemną, wtedy im mniejszą moja tym większa szansa na największą ostateczną moją,   jeśli wszyscy podadzą mniejsze od 10 liczby- moją 9 daje szanse na większy ostateczny wynik. Ale to jest i tak wróżenie z fusów. Pozdrawiam i życzę powodzenia "
2026-01-10 11:16:17,-1,"duza szansa ze spadnie < 0, szkoda jak ktos da mniejsza liczba "
2026-01-10 11:23:23,-5,"Przeciętna osoba zapewne nie zauważy, iż jeśli suma odpowiedzi będzie większa niż 50, to S będzie ujemne, a większa odpowiedź doprowadzi do mniejszego wyniku. Stosunkowo naturalną liczbą do wybrania przez przeciętną osobę wydaje się być 15 (nie wiem jak to uzasadnić), zakładając więc, że będzie to średnia odpowiedzi pozostałych uczestników, -5 daje największy wynik. Liczba ta działa też całkiem dobrze jeśli średnia odpowiedzi innych będzie większa od 15"
2026-01-10 11:24:35,30,Dokonałam własnego wyboru chyba taki cel  zastanawiając się co wybiorą inni pierwsza myśl 50 przez wzrok od podanego działania druga myśl 30 wybór pozostał na 30 zastanawiając się jaka liczbę wybiorą pozostali uczestnicy gry i czy wynik może wyjść ujemny bo może wyjść liczba minusowa poprzez pomnozenie liczby 50 z liczba minusowa liczą dodatnia wyjdzie po dokonaniu pomnożonych liczb dodatnich. Ale wogole o co tu chodzi ?? I co to za gra .doczytałam dokładnie teraz więc  gra ma być dobra zabawa a tu celem jest najlepszy wynik. Grać żeby wygrać.opcja unikatowa ktoś z tych osób wygra. Wygrana trafi się jednej osobie może nawet uda się zremisować. 
2026-01-10 11:34:16,1,Bo 1 jest najmniejsze ewentualnie 0 gdy jest taka możliwość. Pod tym samym mailem przesyłam odpowiedź innej osoby 
2026-01-10 11:39:38,49,Że to jest druga największa  a gdy jest taka możliwa to 50 jest druga największa z tego działania. Ta osoba słyszała poprzedniej decyzję  innej osoby która wybrała najmniejszą liczbę zdecydowała wybrać liczbę największą lecz do 5O więc poszła innym trybem jestem osobą pytająca i też rozeznajaca w tym momencie .wysyłam pod ten sam link 
2026-01-10 11:45:58,30,Pisze jeszcze raz. Te dwie osoby kierowały się tylko zmyslem słuchu czytałam zasady gry .więc taki top rozumowania. Osoba która wybrała numer 1 czy O oraz osoba numer 49 czy też 50 .
2026-01-10 11:46:46,10,"Jest to bezpieczna liczba, niezależnie czy S będzie dodatnie czy ujemne, daje ona największe szanse na zwycięstwo. W przypadku podania przez pozostałych wyższych wartości od 10 i ujemnej S oraz wartości niższych od 10 i dodatniej S, jest to jedyna liczba gwarantująca bezpieczną grę z możliwym zwycięstwem w obu przypadkach, wyłączając jednak te, w których kilka graczy wybrało liczbę poniżej 10, a kilka powyżej 10."
2026-01-10 15:41:26,5,"50/5=10 - na to mam rzeczywisty wpływ, żeby nie zejść na ""minus"". Max (10-x)*x jest dla x=5."
2026-01-10 17:15:07,0,"Każdy z uczestników da jakąś liczbę bliską 10, co z dużym prawdopodobieństwem sprawi, że S będzie mniejsze od 0. Jeśli więc wybiorę 0 mój wynik na końcu okaże się najwyższy"
2026-01-10 19:21:59,29.92,"assuming 5 avg S=50−(20+29,99)=0,01 0,3>0,05 (optymalne ale jak ktos wymysli cos w stylu liczb ujemnych,pierwiastkow albo nawet kontre na to [5,02] cala gra zacznie sie przy tym odbijac ale najoptymalniejsza odp raczej bedzie albo 29,99 albo 5,02 bo zeby wiecej osob wpadlo na to samo to naprawde 1/milion (29,92 dlatego ze sie fajnie odbija od lewej do prawej) ~T.o "
2026-01-10 21:24:22,1,probowalem przekminic ale wydaje mi sie ze jest tak ze jest pare najwyzszych wynikow 
2026-01-11 00:07:48,-5,"większa szansa jest na to że suma wszystkich wybranych cyfr będzie będzie większa od 50 , czyli po odjęciu cyfra będzie ujemna, a żeby mieć najwięcej punktów należy ją pomnożyć przez inną ujemną cyfrę"
2026-01-11 09:25:26,9,"Każdy z graczy powinien przeanalizować, że w przypadku podania liczby >10 możliwe jest uzyskanie ujemnego wyniku, w przypadku podania liczby 10 otrzymamy 0 więc aby uzyskać możliwie większą liczbę najbezpieczniej będzie podać 9. "
2026-01-11 13:08:16,7,Wirzę że inni też podadzą dość niską liczbe i wszyscy dostaną dość wysoki wynik.Wybrałem akurat 7 bo jest ona w przedzale 5-10.
2026-01-11 14:21:11,8,"9 daje gorszy wynik jak inni tak zagrają, 8 to bardziej stablina strategia"
2026-01-11 14:23:09,69,Hehe
2026-01-11 15:15:16,-1,Bardzo prawdopodobne ze suma liczb pozostalych osob przekroczy 50 wiec wynik bedzie na minusie a niskie prawdopodobienstwo tego ze ktos inny da ujemna liczbe wiec moj wynik bedzie jedyny dodatni przez co najwiekszy. Nie jeszcze bardziej na minus bo mozna zniewelowac liczby pozostalych.
2026-01-11 15:42:17,75,Podałem taką liczbę która była moją ulubioną jak i była najbardziej praktyczną do gry
2026-01-11 18:29:11,5,umiar. Jesli każdy poda dużą to nic nie zostanie więc mnożenia na końcu już bez znaczenia.
2026-01-11 18:48:46,0,Mnożenie przez 0 daje 0
2026-01-11 19:17:32,11,Zakładam że pozostali gracze nie ryzykują i dają liczbę <=10 aby nie uzyskać wspólnego wyniku <= 0. Więc np dają 9 zeby miec jak najwyzszy wynik. Dając 11 wygram w takich przypadkach. Gorzej jak bedzie wiecej takich osób:D
2026-01-11 20:43:31,10,Suma cyfr uczestników nie może być większa ani równa 50. Najwyższą może być 10 a pozostałe cztery będą o 1 mniejsze o siebie. 
2026-01-11 21:01:29,7,to szczęśliwa liczba
2026-01-11 21:19:32,-3,Bo lubię liczby pierwsze:)
2026-01-11 21:36:40,20,nie za duza nie za mala
2026-01-11 22:05:02,0,"największa szansa na wygraną z racji, że cokolwiek razy 0 to 0. W przypadku gdy ktoś poda dużą liczbę nieujemną, wszyscy z dodatnimi przegrywają, mając końcowy wynik na minusie "
2026-01-11 22:28:06,-7,Ciekawe zadanie. niestety nie wiem co mogą zrobić inni ale jeśli przesadzą z liczbami dodatnimi to liczba ujemna będzie dobra 
2026-01-11 22:35:46,5,"Myślę, że pięciu uczestników widząc liczbę podzielna przez 5 podzieli ja na pięć mając jak największe szanse na zebranie punktów. Przydziałowa dla mnie to 10 punktów. Wybierając z 10 dwie liczby, które optymalnie dadzą jak największy wynik - to 5.(9*1=9,8*2=16,7*3=21,6*4=24,5*5=25)"
2026-01-12 01:46:13,6,"zakladając, że wszyscy wybralibysmy liczbe ktora kazdego równomiernie wynagradza to byłaby to 6. (Zaokrąglam bo nie bylo podane czy chodzi o liczby calkowite czy nie?)"
2026-01-12 07:37:03,15,iloczyn 3 i 5
2026-01-12 08:20:09,45,"45 jeżeli mam wygrać i jestem bezwzględna -> pozostali osoby chcąc mieć jakikolwiek pozytywny  wynik muszą podać liczbę1( zakładam że wysoki wynik liczbowy to wygrana pieniężna) i zakładając że można podać liczbę  od 1 wzwyż i liczby mogą powtarzać się . Może trafić się osoba ,która może zablokować wygraną wszystkich  uczestników i poda liczbę 2, wtedy wynik  dla wszystkich będzie 0."
2026-01-12 11:37:35,5,"wybrałam liczbę 5 aby łatwo się liczyło, S wyszło mi 15 , bo inni wybrali kolejno 6,7,8,9"
2026-01-12 12:00:02,206,Podałem liczbę 7 ponieważ była to pierwsza cyfra która przyszła na myśli 
2026-01-12 12:20:50,5,"Jeśli wszystkie 5 osób podadzą liczbę 5, to da największy wynik - 125"